Week End Date,Confirmed deaths,Confirmed cases,year,month
2022-12-24,95,9468,2022,12
2022-12-31,126,9787,2022,12
2023-01-07,127,9231,2023,1
2023-01-14,132,7075,2023,1
2023-01-21,157,5727,2023,1
2023-01-28,117,5255,2023,1
2023-02-04,93,4578,2023,2
2023-02-11,105,4411,2023,2
2023-02-18,88,4056,2023,2
2023-02-25,84,3093,2023,2
2023-03-04,62,2615,2023,3
2023-03-11,47,2342,2023,3
2023-03-18,51,2047,2023,3
2023-03-25,53,1939,2023,3
2023-04-01,33,1783,2023,4
2023-04-08,17,1568,2023,4
2023-04-15,18,1346,2023,4
2023-04-22,9,936,2023,4
2023-04-29,12,912,2023,4
2023-05-06,13,905,2023,5
2023-05-13,9,823,2023,5
2023-05-20,9,789,2023,5
2023-05-27,10,802,2023,5
2023-06-03,8,792,2023,6
2023-06-10,6,745,2023,6
2023-06-17,7,765,2023,6
2023-06-24,7,655,2023,6
2023-07-01,6,590,2023,7
2023-07-08,7,607,2023,7
2023-07-15,6,716,2023,7
2023-07-22,9,864,2023,7
2023-07-29,6,1045,2023,7
2023-08-05,2,1234,2023,8
2023-08-12,14,1675,2023,8
2023-08-19,15,1806,2023,8
2023-08-26,15,2105,2023,8
2023-09-02,20,2408,2023,9
2023-09-09,18,2528,2023,9
2023-09-16,26,2686,2023,9
2023-09-23,25,2804,2023,9
2023-09-30,22,2645,2023,9
2023-10-07,28,2637,2023,10
2023-10-14,24,1998,2023,10
2023-10-21,31,2030,2023,10
2023-10-28,20,1797,2023,10
2023-11-04,22,1518,2023,11
2023-11-11,16,1598,2023,11
