,zip,ward,ever_deferred,num_deferrals,appeal_type,status,year,month,income,RES_FLOOR,CD_FLOOR,RES_UNITS,COM_UNITS,RC_UNITS,LAND_SF,GROSS_AREA,LIVING_AREA,LAND_VALUE,BLDG_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT,YR_REMODEL,FULL_BTH,HLF_BTH,KITCHENS,TT_RMS,FIREPLACES,NUM_PARKING,logan_passengers,logan_intl_flights,hotel_occup_rate,hotel_avg_daily_rate,total_jobs,unemp_rate,labor_force_part_rate,pipeline_unit,pipeline_total_dev_cost,pipeline_sqft,pipeline_const_jobs,denied
2949,2130,19,0,0.0,0,2,2019,12,120167.69361207898,1.885392938496583,1.7434782608695651,4.088303640588691,2.3684210526315788,10.25,6019.484150876571,3647.2633804269362,2736.8768737723562,203742.16404029966,690991.1053130113,896076.4333936106,8256.850478739343,1930.3021407280282,2002.8147729109423,1.5406350131080688,0.2596797671033479,1.1634139236819108,7.386096139038609,0.3526499708794409,1.41841555872981,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",1
2952,2116,4,1,1.0,0,2,2019,12,179560.27609816138,1.8287738153395212,4.046741778319123,8.169764560099132,2.5,1.0,2866.5451388888887,5907.079821200511,5213.677689650761,533890.402478103,2469163.4003418074,3003588.529587695,46456.10542607349,1920.4320674131363,1998.9641786570744,1.3634340594987115,0.2794565472007496,0.8677676270789412,4.570236242750036,0.6509721246193488,0.4979487904937049,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",1
2957,2118,3,0,0.0,1,2,2019,12,119353.04173453912,1.9047276907601667,2.834016393442623,6.303172737955347,2.0365853658536586,5.375,3192.256151256151,4238.413267661997,3882.4978575832306,256634.8156144368,1202518.3109802639,1460732.485116127,13901.844588289172,1935.5867954485313,2002.4697903822441,1.0505808325266215,0.17261832707904612,0.7349951597289448,4.46470078057242,0.3213939980638916,0.33015432633951797,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",1
2958,2118,3,0,0.0,0,2,2019,12,119353.04173453912,1.9047276907601667,2.834016393442623,6.303172737955347,2.0365853658536586,5.375,3192.256151256151,4238.413267661997,3882.4978575832306,256634.8156144368,1202518.3109802639,1460732.485116127,13901.844588289172,1935.5867954485313,2002.4697903822441,1.0505808325266215,0.17261832707904612,0.7349951597289448,4.46470078057242,0.3213939980638916,0.33015432633951797,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",0
2959,2135,22,0,0.0,0,2,2019,12,103083.70727086728,1.5875435130303885,2.3219654113463712,16.056300268096514,3.0625,1.0,5993.300151907783,4571.528004503237,3636.3641241081486,293644.0515714534,805603.8243618684,1102341.1351797187,10957.131813127278,1937.2026261354438,1994.6175245710479,1.4175047567273715,0.1368705035971223,1.1837455830388692,6.423860427591771,0.17522251191225388,1.5499899213868171,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",0
2962,2130,19,0,0.0,0,2,2019,12,120167.69361207898,1.885392938496583,1.7434782608695651,4.088303640588691,2.3684210526315788,10.25,6019.484150876571,3647.2633804269362,2736.8768737723562,203742.16404029966,690991.1053130113,896076.4333936106,8256.850478739343,1930.3021407280282,2002.8147729109423,1.5406350131080688,0.2596797671033479,1.1634139236819108,7.386096139038609,0.3526499708794409,1.41841555872981,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",0
2980,2130,19,0,0.0,0,2,2019,12,120167.69361207898,1.885392938496583,1.7434782608695651,4.088303640588691,2.3684210526315788,10.25,6019.484150876571,3647.2633804269362,2736.8768737723562,203742.16404029966,690991.1053130113,896076.4333936106,8256.850478739343,1930.3021407280282,2002.8147729109423,1.5406350131080688,0.2596797671033479,1.1634139236819108,7.386096139038609,0.3526499708794409,1.41841555872981,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",1
2983,2130,19,0,0.0,0,2,2019,12,120167.69361207898,1.885392938496583,1.7434782608695651,4.088303640588691,2.3684210526315788,10.25,6019.484150876571,3647.2633804269362,2736.8768737723562,203742.16404029966,690991.1053130113,896076.4333936106,8256.850478739343,1930.3021407280282,2002.8147729109423,1.5406350131080688,0.2596797671033479,1.1634139236819108,7.386096139038609,0.3526499708794409,1.41841555872981,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",1
2985,2127,6,0,0.0,0,2,2019,12,146873.7366057722,1.903849169018501,2.285210807988513,4.547985781990521,1.4230769230769231,1.0,3890.971401747671,3811.563533544683,3261.0583929032814,205500.75754346233,816726.2828881636,1023941.9793512289,12268.836197262373,1934.871341554004,2004.7463778115082,1.4560199155099578,0.17908762420957544,1.0448031377281641,5.960161556820268,0.255910254479747,0.5179862700228833,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",1
2987,2119,8,0,0.0,0,2,2019,12,59117.29683890235,2.3024799599198396,1.6852487135506002,4.371747211895911,1.5,1.3333333333333333,6133.757329891204,6544.24604283054,5231.462058892264,258405.65081100783,655529.9250956808,916715.3911062512,8540.44880342628,1930.0431560592851,2002.6426666666666,1.396138996138996,0.23741562198649951,1.127220077220077,8.884560705146432,0.12377096587622903,1.274298668177954,"83    3389382
Name: logan_passengers, dtype: int64","83    4155
Name: logan_intl_flights, dtype: int64","83    0.717
Name: hotel_occup_rate, dtype: float64","83    183.2
Name: hotel_avg_daily_rate, dtype: float64","83    392118
Name: total_jobs, dtype: int64","83    0.02
Name: unemp_rate, dtype: float64","83    0.67
Name: labor_force_part_rate, dtype: float64","83    1044
Name: pipeline_unit, dtype: int64","83    1.106200e+09
Name: pipeline_total_dev_cost, dtype: float64","83    1697970
Name: pipeline_sqft, dtype: int64","83    1645
Name: pipeline_const_jobs, dtype: int64",0
