address,city,zip,Residence_Addresses_Latitude,Residence_Addresses_Longitude,id
4459 Washington ST Roslindale 02131,Roslindale,2131,42.280146,-71.135262,80
289 to 289A D ST South Boston 02127,South Boston,2127,,,81
28 Evergreen ST Jamaica Plain 02130,Jamaica Plain,2130,42.323972,-71.110499,82
58 Wordsworth ST East Boston 02128,East Boston,2128,42.385046,-71.017091,83
491 Geneva AV Dorchester 02124,Dorchester,2124,,,84
1301 to 1305 Boylston ST Boston 02215,Boston,2215,,,85
31 Rosedale ST Dorchester 02124,Dorchester,2124,42.292529,-71.073451,86
162 to 164 Fairmount ST Dorchester 02124,Dorchester,2124,42.2794,-71.07831,87
3510 Washington ST Jamaica Plain 02130,Jamaica Plain,2130,,,88
15 Levant ST Dorchester 02122,Dorchester,2122,,,89
158 Athens ST South Boston 02127,South Boston,2127,42.34055,-71.052247,90
294R West St Hyde Park 02136,Hyde Park,2136,,,91
14 Converse ST Brighton 02135,Brighton,2135,42.35664,-71.15608,92
43 to 45 Wood AV Mattapan 02126,Mattapan,2126,,,93
112 Temple ST West Roxbury 02132,West Roxbury,2132,42.28092,-71.1637,94
112 Temple ST West Roxbury 02132,West Roxbury,2132,42.28092,-71.1637,95
30 Mildred AV Mattapan 02126,Mattapan,2126,,,96
54 Semont RD Dorchester 02124,Dorchester,2124,42.29108,-71.06144,97
112 to 114 Chelsea ST East Boston 02128,East Boston,2128,,,98
899 to 901 Washington ST Dorchester 02124,Dorchester,2124,,,99
106 Marlborough ST Boston 02116,Boston,2116,42.353137,-71.076729,100
135 Havre ST East Boston 02128,East Boston,2128,42.37306,-71.03781,101
188 to 190 Fuller ST Dorchester 02124,Dorchester,2124,,,102
226 Magnolia St Dorchester 02121,Dorchester,2121,,,103
1015 Hyde Park AV Hyde Park 02136,Hyde Park,2136,,,104
93 to 95 Wellsmere RD Roslindale 02131,Roslindale,2131,42.27899,-71.1337,105
26 Neponset AVE Hyde Park 02136,Hyde Park,2136,42.24969,-71.11951,106
137 Cottage ST East Boston 02128,East Boston,2128,42.36902,-71.03356,107
44 Bournedale RD Jamaica Plain 02130,Jamaica Plain,2130,42.29158,-71.11482,108
21 Woodworth ST Dorchester 02122,Dorchester,2122,,,109
54 John Eliot Sq Roxbury 02119,Roxbury,2119,,,110
429 to 431 W Broadway South Boston 02127,South Boston,2127,,,111
112 Richmond ST Dorchester 02124,Dorchester,2124,,,112
517 Columbus AVE Roxbury 02118,Roxbury,2118,42.34222,-71.08013,113
1256 to 1262 River ST Hyde Park 02136,Hyde Park,2136,,,114
6 Sunnybank RD West Roxbury 02132,West Roxbury,2132,,,115
363 E St South Boston 02127,South Boston,2127,,,116
9 Vaughan Av Dorchester 02121,Dorchester,2121,,,117
129 B ST South Boston 02127,South Boston,2127,42.34155,-71.05278,118
19 Vaughan AVE Dorchester 02121,Dorchester,2121,42.30587,-71.07644,119
11 Vaughan Av Dorchester 02121,Dorchester,2121,,,120
17 Vaughan Av Dorchester 02121,Dorchester,2121,,,121
35 to 35B Old Morton ST Mattapan 02126,Mattapan,2126,,,122
33 to 39 Harvard AV Allston 02134,Allston,2134,,,123
84 Prince ST Jamaica Plain 02130,Jamaica Plain,2130,,,124
44 to 46 Winter ST Boston 02108,Boston,2108,42.355885,-71.061884,125
45 Milton AVE Hyde Park 02136,Hyde Park,2136,42.253471,-71.114743,126
115 Salem ST Boston 02113,Boston,2113,42.364428,-71.055373,127
185 E St South Boston 02127,South Boston,2127,42.33421,-71.0533,128
146 Thornton ST Roxbury 02119,Roxbury,2119,,,129
3 Hamlet ST Dorchester 02125,Dorchester,2125,42.31833,-71.06434,130
15 Parkman ST Dorchester 02122,Dorchester,2122,,,131
79 W Milton ST Hyde Park 02136,Hyde Park,2136,42.238578,-71.137816,132
15 to 17 Brackett ST Brighton 02135,Brighton,2135,42.35077,-71.16508,133
36 Fairmount ST Dorchester 02124,Dorchester,2124,42.28077,-71.072393,134
41 Houghton ST Dorchester 02122,Dorchester,2122,42.294954,-71.051734,135
257 Market ST Brighton 02135,Brighton,2135,42.35414,-71.15101,136
259R to 259RF Market ST Brighton 02135,Brighton,2135,,,137
358 Marlborough ST Boston 02115,Boston,2115,42.35058,-71.086194,138
358 Marlborough ST Boston 02115,Boston,2115,42.35058,-71.086194,139
40 B St South Boston 02127,South Boston,2127,,,140
55 W Fifth ST South Boston 02127,South Boston,2127,,,141
409 to 415 W Broadway South Boston 02127,South Boston,2127,,,142
379 to 381 Blue Hill AVE Dorchester 02121,Dorchester,2121,42.31176,-71.08113,143
26 Whittemore ST West Roxbury 02132,West Roxbury,2132,42.28729,-71.16139,144
55 W Fifth ST South Boston 02127,South Boston,2127,,,145
14 Floyd ST Dorchester 02124,Dorchester,2124,,,146
83 Deforest ST Hyde Park 02136,Hyde Park,2136,42.2687,-71.13032,147
9 to 11 Seaverns AV Jamaica Plain 02130,Jamaica Plain,2130,42.31206,-71.113659,148
140 Chestnut Hill Av Brighton 02135,Brighton,2135,,,149
14 Emerson ST South Boston 02127,South Boston,2127,42.336705,-71.043476,150
36 Ellison AVE Mattapan 02126,Mattapan,2126,42.27683,-71.073,151
68 to 74 Harrison AVE Boston 02111,Boston,2111,,,152
506 E Third ST South Boston 02127,South Boston,2127,,,153
