address,city,zip,Residence_Addresses_Latitude,Residence_Addresses_Longitude,id
1556 to 1558 Columbia RD South Boston 02127,South Boston,2127,42.33032,-71.03853,926
45 Soley ST Charlestown 02129,Charlestown,2129,42.374932,-71.060923,927
727 Atlantic AVE Boston 02111,Boston,2111,,,928
313 to 313A Meridian ST East Boston 02128,East Boston,2128,,,929
11 Sherrin ST Hyde Park 02136,Hyde Park,2136,42.2717,-71.12475,930
229 Maverick ST East Boston 02128,East Boston,2128,42.36829,-71.03505,931
2 Ayr RD Brighton 02135,Brighton,2135,42.3371,-71.14869,932
210 W Springfield ST Roxbury 02118,Roxbury,2118,42.34039,-71.08057,933
10 Glenside Av Jamaica Plain 02130,Jamaica Plain,2130,,,934
110R Leighton Rd Hyde Park 02136,Hyde Park,2136,,,935
7 Dana AV Hyde Park 02136,Hyde Park,2136,42.25403,-71.12523,936
1 Design Center PL Boston 02210,Boston,2210,,,937
1180 Washington ST 500 Roxbury 02118,Roxbury,2118,42.34309,-71.066322,938
2 Carlisle ST Dorchester 02121,Dorchester,2121,42.31439,-71.08318,939
14 Cook ST Charlestown 02129,Charlestown,2129,42.380444,-71.064249,940
378 to 380 Centre ST Jamaica Plain 02130,Jamaica Plain,2130,42.32196,-71.10927,941
71 Sydney ST Dorchester 02125,Dorchester,2125,42.313953,-71.052515,942
25 Brook AVE Roxbury 02119,Roxbury,2119,42.32201,-71.07424,943
45 Dracut ST Dorchester 02124,Dorchester,2124,,,944
124 to 126 Kenrick ST Brighton 02135,Brighton,2135,42.34645,-71.168071,945
67 Sydney ST Dorchester 02125,Dorchester,2125,42.31386,-71.05253,946
8 to 10 Mercer ST South Boston 02127,South Boston,2127,,,947
2207 Dorchester AVE Dorchester 02124,Dorchester,2124,42.27523,-71.06759,948
131 Princeton ST East Boston 02128,East Boston,2128,42.377848,-71.034641,949
37 Blakeville ST Dorchester 02121,Dorchester,2121,42.30527,-71.07097,950
196 to 198 W Broadway South Boston 02127,South Boston,2127,,,951
60 Chesterfield ST Hyde Park 02136,Hyde Park,2136,42.24137,-71.1368,952
438 Washington ST Brighton 02135,Brighton,2135,42.348855,-71.15739,953
32 Fayette ST Boston 02116,Boston,2116,42.348598,-71.067648,954
128 to 134 North ST Boston 02109,Boston,2109,,,955
14 Gardner St Allston 02134,Allston,2134,42.353719,-71.130892,956
1222 Washington ST Roxbury 02118,Roxbury,2118,,,957
79 W Milton ST Hyde Park 02136,Hyde Park,2136,42.238578,-71.137816,958
78 Washington ST Charlestown 02129,Charlestown,2129,42.37371,-71.06673,959
21 Ardent ST Roslindale 02131,Roslindale,2131,42.285359,-71.141538,960
1 Harvard PL Charlestown 02129,Charlestown,2129,42.3723,-71.06351,961
183 Fuller St Dorchester 02124,Dorchester,2124,,,962
132 Devon St Dorchester 02121,Dorchester,2121,,,963
100 Allstate RD Dorchester 02125,Dorchester,2125,,,964
103 Norwell St Dorchester 02121,Dorchester,2121,,,965
34 Abbot ST Dorchester 02124,Dorchester,2124,,,966
46 Linwood ST Roxbury 02119,Roxbury,2119,42.32807,-71.09451,967
7 to 9 Brooksdale RD Brighton 02135,Brighton,2135,42.35694,-71.15792,968
615 River ST Mattapan 02126,Mattapan,2126,42.26576,-71.09851,969
107 Norwell St Dorchester 02121,Dorchester,2121,,,970
101 Norwell St Dorchester 02121,Dorchester,2121,,,971
105 Norwell St Dorchester 02121,Dorchester,2121,,,972
20 Holyoke ST Boston 02116,Boston,2116,42.344604,-71.078102,973
705 to 711 Boylston ST Boston 02116,Boston,2116,,,974
4 Dartmouth PL Boston 02116,Boston,2116,42.34482,-71.074089,975
584 to 586 E Broadway South Boston 02127,South Boston,2127,,,976
140 to 140A D ST South Boston 02127,South Boston,2127,,,977
104 to 106 Trenton ST East Boston 02128,East Boston,2128,,,978
1246 Dorchester AV Dorchester 02125,Dorchester,2125,,,979
132 to 138 Park ST Dorchester 02122,Dorchester,2122,,,980
34 Cobden St Roxbury 02119,Roxbury,2119,,,981
26 Saint Albans Rd Boston 02115,Boston,2115,,,982
52 to 60 Winter ST Boston 02111,Boston,2111,,,983
108 to 108E Allston St Allston 02134,Allston,2134,,,984
28 Saint Albans Rd Boston 02115,Boston,2115,,,985
35 Worley ST West Roxbury 02132,West Roxbury,2132,42.29225,-71.16221,986
4 Ashmont Pk Dorchester 02124,Dorchester,2124,,,987
1617 Tremont St Mission Hill 02120,Mission Hill,2120,,,988
555 to 567 E Broadway South Boston 02127,South Boston,2127,,,989
272 E Eagle St East Boston 02128,East Boston,2128,42.38153,-71.03081,990
6 Ashmont Pk Dorchester 02124,Dorchester,2124,,,991
53 Cedar Grove ST Dorchester 02124,Dorchester,2124,42.2811,-71.04974,992
81 Tyndale ST Roslindale 02131,Roslindale,2131,42.28722,-71.14078,993
88 Maverick ST East Boston 02128,East Boston,2128,42.370757,-71.040016,994
183 Chestnut AVE Jamaica Plain 02130,Jamaica Plain,2130,42.316528,-71.107351,995
301 Mount Vernon St Dorchester 02125,Dorchester,2125,,,996
18A Euclid St Dorchester 02124,Dorchester,2124,,,997
273 Havre ST East Boston 02128,East Boston,2128,42.376,-71.03441,998
1236 to 1238 Dorchester AV Dorchester 02125,Dorchester,2125,,,999
21 Capen ST Dorchester 02124,Dorchester,2124,42.28334,-71.08101,1000
400 Melnea Cass BL Roxbury 02119,Roxbury,2119,,,1001
402 Melnea Cass BL Roxbury 02119,Roxbury,2119,,,1002
25 Farmington RD West Roxbury 02132,West Roxbury,2132,42.29507,-71.15827,1003
175 Wordsworth ST East Boston 02128,East Boston,2128,42.38195,-71.01419,1004
22 Hanover AVE Boston 02109,Boston,2109,,,1005
17 Longfellow St Dorchester 02122,Dorchester,2122,,,1006
211 to 213 Reservation RD Hyde Park 02136,Hyde Park,2136,42.253197,-71.131492,1007
16 Cook ST Charlestown 02129,Charlestown,2129,42.380495,-71.064209,1008
3243 Washington ST Jamaica Plain 02130,Jamaica Plain,2130,,,1009
2 Waumbeck ST Dorchester 02121,Dorchester,2121,42.31318,-71.08404,1010
50 B ST 7 South Boston 02127,South Boston,2127,42.33975,-71.05547,1011
226 Magnolia St Dorchester 02121,Dorchester,2121,,,1012
139 Parsons ST Brighton 02135,Brighton,2135,42.35481,-71.15531,1013
41 Nikisch AVE Roslindale 02131,Roslindale,2131,42.27826,-71.14058,1014
47 Melville AVE Dorchester 02124,Dorchester,2124,42.294554,-71.066,1015
33 Augustus AV Roslindale 02131,Roslindale,2131,42.281573,-71.128754,1016
4166 to 4168A Washington ST Roslindale 02131,Roslindale,2131,,,1017
661 South ST Roslindale 02131,Roslindale,2131,,,1018
659 South St Roslindale 02131,Roslindale,2131,,,1019
55 Boylston ST Jamaica Plain 02130,Jamaica Plain,2130,42.3174,-71.10735,1020
221 W Springfield ST Roxbury 02118,Roxbury,2118,42.340879,-71.080399,1021
6 Dana AVE Hyde Park 02136,Hyde Park,2136,42.254531,-71.125156,1022
177 Chelsea ST East Boston 02128,East Boston,2128,42.373987,-71.033644,1023
420 to 438 Rutherford Av Charlestown 02129,Charlestown,2129,,,1024
440 to 458 Rutherford AV Charlestown 02129,Charlestown,2129,,,1025
62 N Beacon ST Allston 02134,Allston,2134,,,1026
57 Nixon ST Dorchester 02124,Dorchester,2124,42.2924,-71.0649,1027
48 Industrial DR Hyde Park 02136,Hyde Park,2136,,,1028
6 Winter ST Dorchester 02122,Dorchester,2122,42.30995,-71.06237,1029
88 Chelsea ST East Boston 02128,East Boston,2128,42.37219,-71.03645,1030
72 Hyde Park Av Jamaica Plain 02130,Jamaica Plain,2130,,,1031
1852 to 1858 Centre ST West Roxbury 02132,West Roxbury,2132,,,1032
10 Winter ST Dorchester 02122,Dorchester,2122,42.30982,-71.06241,1033
2 Emelia TER West Roxbury 02132,West Roxbury,2132,42.2893,-71.15371,1034
42 to 44 Dorset ST Dorchester 02125,Dorchester,2125,,,1035
170 Old Colony Av South Boston 02127,South Boston,2127,,,1036
32 to 32C Hobart St Brighton 02135,Brighton,2135,,,1037
100 to 102 Beachview RD East Boston 02128,East Boston,2128,,,1038
286 Commonwealth AVE Boston 02115,Boston,2115,42.349661,-71.084653,1039
5 to 9 Hudson ST Boston 02111,Boston,2111,,,1040
1033 Massachusetts AVE Roxbury 02118,Roxbury,2118,,,1041
16 Meredith ST West Roxbury 02132,West Roxbury,2132,42.284537,-71.151135,1042
108 Laurie AVE West Roxbury 02132,West Roxbury,2132,42.272572,-71.167831,1043
354 to 356 Hanover ST Boston 02113,Boston,2113,,,1044
220 Huntington AV Boston 02115,Boston,2115,42.343453,-71.083686,1045
44R Worley St West Roxbury 02132,West Roxbury,2132,,,1046
7 Larchmont ST Dorchester 02124,Dorchester,2124,42.29758,-71.06735,1047
994 to 996 Tremont ST Mission Hill 02120,Mission Hill,2120,42.336725,-71.084239,1048
906 Dorchester AVE Dorchester 02125,Dorchester,2125,42.32001,-71.05653,1049
430 to 454 Blue Hill AV Dorchester 02121,Dorchester,2121,,,1050
4 Dever ST Dorchester 02122,Dorchester,2122,42.30477,-71.07002,1051
1318 River St Hyde Park 02136,Hyde Park,2136,,,1052
1145 to 1147 Saratoga ST East Boston 02128,East Boston,2128,42.384149,-71.000302,1053
58 Burbank St Boston 02115,Boston,2115,,,1054
340 Meridian ST East Boston 02128,East Boston,2128,,,1055
311 to 315 Washington ST Brighton 02135,Brighton,2135,,,1056
6 Park LN Jamaica Plain 02130,Jamaica Plain,2130,42.31058,-71.09878,1057
34 Belmont ST Charlestown 02129,Charlestown,2129,,,1058
417 to 423C W Broadway South Boston 02127,South Boston,2127,,,1059
21 Worley ST West Roxbury 02132,West Roxbury,2132,,,1060
1153 to 1155 Washington St Mattapan 02124,Mattapan,2124,,,1061
120 to 124 Babson ST Mattapan 02126,Mattapan,2126,,,1062
155 Portland ST Boston 02114,Boston,2114,,,1063
109 Ellington St Dorchester 02121,Dorchester,2121,,,1064
435 Bunker Hill ST Charlestown 02129,Charlestown,2129,42.38329,-71.07099,1065
23 Chestnut ST Boston 02108,Boston,2108,42.35777,-71.06733,1066
110 Sawyer AVE Dorchester 02125,Dorchester,2125,42.31349,-71.06369,1067
20 Heldun St West Roxbury 02132,West Roxbury,2132,42.278386,-71.168725,1068
10 Kerwin ST Dorchester 02124,Dorchester,2124,42.29349,-71.08065,1069
73 Green ST Charlestown 02129,Charlestown,2129,42.3783,-71.06232,1070
73 Green ST Charlestown 02129,Charlestown,2129,42.3783,-71.06232,1071
101 to 117 Atlantic AV Boston 02109,Boston,2109,,,1072
10 Woodhaven ST Mattapan 02126,Mattapan,2126,,,1073
11 Spring Garden St Dorchester 02125,Dorchester,2125,42.318441,-71.053446,1074
7 Chestnut ST Boston 02108,Boston,2108,,,1075
22 Wilmore St Mattapan 02126,Mattapan,2126,,,1076
54 Semont RD Dorchester 02124,Dorchester,2124,42.29108,-71.06144,1077
6 Pleasant ST Dorchester 02125,Dorchester,2125,,,1078
285 K ST South Boston 02127,South Boston,2127,42.33375,-71.03763,1079
11 Tappan ST Roslindale 02131,Roslindale,2131,42.28898,-71.13253,1080
605 Tremont ST Roxbury 02118,Roxbury,2118,42.343161,-71.073669,1081
230 Everett St East Boston 02128,East Boston,2128,,,1082
24 Fairview ST Roslindale 02131,Roslindale,2131,42.289446,-71.130265,1083
145 Eustis ST Roxbury 02119,Roxbury,2119,42.32861,-71.07798,1084
12 Basto TER Roslindale 02131,Roslindale,2131,,,1085
84 Train ST Dorchester 02122,Dorchester,2122,42.292941,-71.054027,1086
81 to 87 Fairmount AV Hyde Park 02136,Hyde Park,2136,,,1087
690 E Eighth ST South Boston 02127,South Boston,2127,,,1088
62 to 64 Waverly ST Brighton 02135,Brighton,2135,42.361116,-71.141468,1089
1 Raldne RD Hyde Park 02136,Hyde Park,2136,42.25449,-71.14058,1090
349 Savin Hill AVE Dorchester 02125,Dorchester,2125,42.31275,-71.05002,1091
46 W Cedar ST Boston 02114,Boston,2114,,,1092
65 Mount Hope ST Roslindale 02131,Roslindale,2131,42.28332,-71.11671,1093
6 Moreland ST Roxbury 02119,Roxbury,2119,42.323323,-71.086349,1094
66 Waverly St Brighton 02135,Brighton,2135,,,1095
159 to 165 Everett ST East Boston 02128,East Boston,2128,,,1096
78 Child ST Jamaica Plain 02130,Jamaica Plain,2130,42.30707,-71.11225,1097
47 Chesbrough RD West Roxbury 02132,West Roxbury,2132,42.281713,-71.166553,1098
4 Delano PARK Roslindale 02131,Roslindale,2131,,,1099
11 Frontenac St Dorchester 02126,Dorchester,2126,,,1100
795 to 799 Boylston ST Boston 02116,Boston,2116,,,1101
7 Frontenac St Dorchester 02126,Dorchester,2126,,,1102
684 to 702 Centre ST Jamaica Plain 02130,Jamaica Plain,2130,,,1103
1160 Blue Hill AVE Dorchester 02124,Dorchester,2124,,,1104
330 K ST South Boston 02127,South Boston,2127,42.33243,-71.03715,1105
154 to 156 Ipswich ST Boston 02215,Boston,2215,,,1106
74 Baker ST West Roxbury 02132,West Roxbury,2132,42.27243,-71.16501,1107
83 Corbet ST Dorchester 02124,Dorchester,2124,42.28105,-71.08311,1108
635 Hyde Park AV Hyde Park 02131,Hyde Park,2131,,,1109
61 Linden St Dorchester 02122,Dorchester,2122,,,1110
49 to 65 Lansdowne ST Boston 02215,Boston,2215,,,1111
1105 Harrison Av Roxbury 02119,Roxbury,2119,,,1112
2154 Washington St Roxbury 02119,Roxbury,2119,,,1113
34 Halsey RD Hyde Park 02136,Hyde Park,2136,42.24197,-71.12473,1114
1121 Harrison Av Roxbury 02119,Roxbury,2119,,,1115
2196 Washington St Roxbury 02119,Roxbury,2119,,,1116
3407- to 3409 Washington St Jamaica Plain 02130,Jamaica Plain,2130,,,1117
10 Belton ST Dorchester 02124,Dorchester,2124,42.28276,-71.04944,1118
81 Woodlawn St Jamaica Plain 02130,Jamaica Plain,2130,,,1119
280 Chelsea ST East Boston 02128,East Boston,2128,42.376162,-71.031823,1120
28 Clifton St Roxbury 02119,Roxbury,2119,42.32259,-71.07041,1121
31 Hazleton ST Mattapan 02126,Mattapan,2126,,,1122
48 Waterman RD Roslindale 02131,Roslindale,2131,42.28774,-71.11253,1123
30 Clifton St Roxbury 02119,Roxbury,2119,,,1124
146 M ST South Boston 02127,South Boston,2127,42.33297,-71.03303,1125
116 Appleton ST Boston 02116,Boston,2116,42.345079,-71.074258,1126
116 Appleton ST Boston 02116,Boston,2116,42.345079,-71.074258,1127
357 to 361 Hanover ST Boston 02113,Boston,2113,42.36464,-71.05339,1128
111 to 111A Salem ST Boston 02113,Boston,2113,,,1129
31 Mount Vernon ST Dorchester 02125,Dorchester,2125,42.32167,-71.0577,1130
109 to 109A Salem ST Boston 02113,Boston,2113,,,1131
201 W Eighth ST South Boston 02127,South Boston,2127,,,1132
33 Davison ST Hyde Park 02136,Hyde Park,2136,42.25645,-71.11916,1133
127 Train ST Dorchester 02122,Dorchester,2122,42.29123,-71.05366,1134
17 Sheafe ST Boston 02113,Boston,2113,42.36636,-71.05558,1135
67 Appleton St Boston 02116,Boston,2116,,,1136
25 Barry ST Dorchester 02125,Dorchester,2125,42.30922,-71.0682,1137
101 Kilmarnock ST Boston 02215,Boston,2215,,,1138
52 Bellevue St Dorchester 02125,Dorchester,2125,,,1139
539 to 553 E Broadway South Boston 02127,South Boston,2127,,,1140
6 Thwing ST Roxbury 02119,Roxbury,2119,42.3234,-71.09416,1141
102 to 106 South ST Boston 02111,Boston,2111,42.351062,-71.057109,1142
67 to 71 W Cedar St Boston 02114,Boston,2114,,,1143
120 Birch ST Roslindale 02131,Roslindale,2131,42.28379,-71.13302,1144
122 Birch St Roslindale 02131,Roslindale,2131,,,1145
596 E Seventh ST South Boston 02127,South Boston,2127,,,1146
438 Main ST Charlestown 02129,Charlestown,2129,42.38149,-71.07147,1147
388 to 390 Blue Hill AV Dorchester 02121,Dorchester,2121,,,1148
40 to 42 Cross St Boston 02113,Boston,2113,,,1149
520 Dudley ST Roxbury 02119,Roxbury,2119,,,1150
25 Rawston RD Roslindale 02131,Roslindale,2131,42.27789,-71.12987,1151
148 Arlington ST Hyde Park 02136,Hyde Park,2136,42.26265,-71.12224,1152
49 Corbet ST Dorchester 02124,Dorchester,2124,42.28188,-71.08359,1153
190 W Fifth ST South Boston 02127,South Boston,2127,,,1154
291 Beacon ST Boston 02116,Boston,2116,42.352951,-71.080714,1155
51 Linwood ST Roxbury 02119,Roxbury,2119,42.32872,-71.09457,1156
2005 Dorchester AVE Dorchester 02124,Dorchester,2124,42.28235,-71.06547,1157
141 D ST South Boston 02127,South Boston,2127,,,1158
14 Blanche ST Dorchester 02122,Dorchester,2122,42.29894,-71.05011,1159
46 Parsons ST Brighton 02135,Brighton,2135,,,1160
510 E Eighth ST South Boston 02127,South Boston,2127,,,1161
15 Maple ST West Roxbury 02132,West Roxbury,2132,42.28746,-71.15381,1162
158 W Concord ST Roxbury 02118,Roxbury,2118,42.33995,-71.07777,1163
1744 to 1750 Centre St West Roxbury 02132,West Roxbury,2132,,,1164
240 Norwell ST Dorchester 02124,Dorchester,2124,,,1165
57 Ocean ST Dorchester 02124,Dorchester,2124,42.28681,-71.06712,1166
12 Hamilton ST Hyde Park 02136,Hyde Park,2136,,,1167
18 Midland ST Dorchester 02125,Dorchester,2125,42.311282,-71.054403,1168
13 Austin ST Hyde Park 02136,Hyde Park,2136,42.25764,-71.12604,1169
25 Athelwold St Dorchester 02124,Dorchester,2124,,,1170
275 Havre ST East Boston 02128,East Boston,2128,42.37583,-71.0346,1171
14 to 16 Lakeville RD Jamaica Plain 02130,Jamaica Plain,2130,42.315994,-71.114741,1172
27 Allenwood ST West Roxbury 02132,West Roxbury,2132,42.282733,-71.148156,1173
141 D ST South Boston 02127,South Boston,2127,,,1174
287 to 295 Hanover ST Boston 02113,Boston,2113,42.36372,-71.05425,1175
36 Newport ST Dorchester 02125,Dorchester,2125,42.31793,-71.05382,1176
20 Dale ST Roslindale 02131,Roslindale,2131,,,1177
4 to 6 Woodville PK Roxbury 02119,Roxbury,2119,,,1178
19 Woodville ST Roxbury 02119,Roxbury,2119,42.321445,-71.075619,1179
53 Grampian WAY Dorchester 02125,Dorchester,2125,42.311649,-71.049544,1180
60 Oakridge St Mattapan 02126,Mattapan,2126,,,1181
143 E Cottage ST Dorchester 02125,Dorchester,2125,42.32081,-71.06342,1182
548 E Third St South Boston 02127,South Boston,2127,,,1183
421 Saratoga St East Boston 02128,East Boston,2128,,,1184
130 Marginal St East Boston 02128,East Boston,2128,,,1185
200 Turtle Pond PKWY Hyde Park 02136,Hyde Park,2136,42.25221,-71.13973,1186
1721 Washington St Roxbury 02118,Roxbury,2118,,,1187
37 Jenkins ST South Boston 02127,South Boston,2127,42.330016,-71.053034,1188
1337 Blue Hill Av Mattapan 02126,Mattapan,2126,,,1189
34 Woodford St Dorchester 02125,Dorchester,2125,,,1190
58 Murdock ST Brighton 02135,Brighton,2135,,,1191
10 Woodford St Dorchester 02125,Dorchester,2125,,,1192
300 to 399 Faneuil Hall Marketplace Boston 02109,Boston,2109,,,1193
27 Sherwood ST Roslindale 02131,Roslindale,2131,42.28405,-71.12309,1194
121 Saint Botolph ST Boston 02115,Boston,2115,42.344346,-71.081832,1195
8 Curlew ST West Roxbury 02132,West Roxbury,2132,42.27316,-71.15133,1196
951 to 959A Dorchester AV Dorchester 02125,Dorchester,2125,,,1197
8C Allstate RD Dorchester 02125,Dorchester,2125,,,1198
7 to 9 Newbury ST Boston 02116,Boston,2116,,,1199
7 Boylston ST Jamaica Plain 02130,Jamaica Plain,2130,,,1200
34 Oak St Hyde Park 02136,Hyde Park,2136,,,1201
433 Marlborough ST Boston 02115,Boston,2115,,,1202
88 Chesterfield ST Hyde Park 02136,Hyde Park,2136,42.24184,-71.13838,1203
80 H ST South Boston 02127,South Boston,2127,42.335052,-71.04131,1204
51 Gretter RD Roslindale 02131,Roslindale,2131,,,1205
107 Marion ST East Boston 02128,East Boston,2128,42.37743,-71.0371,1206
130 Bremen ST East Boston 02128,East Boston,2128,,,1207
132 Chestnut Hill AVE Brighton 02135,Brighton,2135,42.342897,-71.153124,1208
51 to 53 Walk Hill ST Jamaica Plain 02130,Jamaica Plain,2130,,,1209
5 Malcolm RD Jamaica Plain 02130,Jamaica Plain,2130,,,1210
82 Webster ST East Boston 02128,East Boston,2128,42.367113,-71.037512,1211
62 Liverpool ST East Boston 02128,East Boston,2128,42.37171,-71.04148,1212
62 Liverpool ST East Boston 02128,East Boston,2128,42.37171,-71.04148,1213
836 E Fourth ST South Boston 02127,South Boston,2127,,,1214
164 Homestead ST Dorchester 02121,Dorchester,2121,42.310402,-71.087493,1215
1578 Blue Hill Av Mattapan 02126,Mattapan,2126,,,1216
120 Glendower Rd Roslindale 02131,Roslindale,2131,,,1217
324 Cornell ST Roslindale 02131,Roslindale,2131,42.28183,-71.13952,1218
65 Business ST Hyde Park 02136,Hyde Park,2136,42.253053,-71.127998,1219
63 Belgrade Av Roslindale 02131,Roslindale,2131,,,1220
887 Dorchester AV Dorchester 02125,Dorchester,2125,,,1221
581 Boylston ST Boston 02116,Boston,2116,,,1222
127 Washington ST Dorchester 02121,Dorchester,2121,42.30482,-71.08021,1223
645 Washington ST Brighton 02135,Brighton,2135,42.35134,-71.169043,1224
819 Beacon St Boston 02215,Boston,2215,,,1225
817 to 819 Beacon St Boston 02215,Boston,2215,,,1226
74R Favre St Mattapan 02126,Mattapan,2126,,,1227
36 Gaston ST Dorchester 02121,Dorchester,2121,42.313487,-71.080732,1228
720 William T Morrissey Bl Dorchester 02122,Dorchester,2122,,,1229
73 Beacon ST Boston 02108,Boston,2108,,,1230
5 Abbotsford ST Dorchester 02121,Dorchester,2121,42.31451,-71.09282,1231
19 Haydn ST Roslindale 02131,Roslindale,2131,42.277959,-71.13887,1232
18 Malcolm RD Jamaica Plain 02130,Jamaica Plain,2130,42.302317,-71.130684,1233
131 W Newton ST Roxbury 02118,Roxbury,2118,,,1234
58 Clifford St Roxbury 02119,Roxbury,2119,,,1235
60 Clifford St Roxbury 02119,Roxbury,2119,,,1236
35 Waverly St Roxbury 02119,Roxbury,2119,,,1237
386 Ashmont ST Dorchester 02124,Dorchester,2124,42.288222,-71.057038,1238
41 Mount Vernon ST Charlestown 02129,Charlestown,2129,,,1239
9 Hewins ST Dorchester 02121,Dorchester,2121,,,1240
17 Concord ST Charlestown 02129,Charlestown,2129,,,1241
362 Meridian ST East Boston 02128,East Boston,2128,42.379044,-71.039509,1242
114 Leicester St Brighton 02135,Brighton,2135,,,1243
340 W Second ST South Boston 02127,South Boston,2127,,,1244
70 Sleeper ST Boston 02210,Boston,2210,,,1245
10 Norton ST Dorchester 02125,Dorchester,2125,42.30676,-71.06965,1246
1 to 3 Elmwood St Roxbury 02119,Roxbury,2119,,,1247
351 Cornell ST Roslindale 02131,Roslindale,2131,42.28298,-71.14046,1248
313 W Fourth ST South Boston 02127,South Boston,2127,,,1249
82 Endicott ST Boston 02113,Boston,2113,42.363953,-71.057464,1250
146 Commonwealth AVE Boston 02116,Boston,2116,42.35158,-71.07754,1251
11 Monument ST Charlestown 02129,Charlestown,2129,42.377395,-71.059995,1252
270 Sumner ST East Boston 02128,East Boston,2128,,,1253
90 Braintree St Allston 02134,Allston,2134,,,1254
190 I ST South Boston 02127,South Boston,2127,,,1255
137 W Newton ST Roxbury 02118,Roxbury,2118,,,1256
36 Glenhaven RD West Roxbury 02132,West Roxbury,2132,42.2711,-71.1643,1257
55 Summer ST Boston 02111,Boston,2111,,,1258
31 Torrey ST Dorchester 02124,Dorchester,2124,42.28753,-71.07286,1259
5 Belle AVE West Roxbury 02132,West Roxbury,2132,42.273257,-71.165764,1260
16 Church St Dorchester 02122,Dorchester,2122,,,1261
10 Green ST Charlestown 02129,Charlestown,2129,,,1262
59 Falcon St East Boston 02128,East Boston,2128,,,1263
69 Houghton St Dorchester 02122,Dorchester,2122,,,1264
990 Dorchester AVE Dorchester 02125,Dorchester,2125,,,1265
24 Dawson ST Dorchester 02124,Dorchester,2124,42.2899,-71.0587,1266
717A to 717 E Fifth ST South Boston 02127,South Boston,2127,,,1267
100 Chesbrough RD West Roxbury 02132,West Roxbury,2132,42.2831,-71.16884,1268
19 Spalding ST Jamaica Plain 02130,Jamaica Plain,2130,42.303449,-71.113459,1269
15 Fowler St Dorchester 02121,Dorchester,2121,,,1270
27 Dudley ST Roxbury 02119,Roxbury,2119,42.329187,-71.088981,1271
702 E Fifth ST South Boston 02127,South Boston,2127,,,1272
80 Bunker Hill ST Charlestown 02129,Charlestown,2129,42.377215,-71.057931,1273
389 Neponset AVE Dorchester 02122,Dorchester,2122,,,1274
173 to 175 Ipswich ST Boston 02215,Boston,2215,,,1275
29 Hamilton St Dorchester 02125,Dorchester,2125,,,1276
26 Sullivan ST Charlestown 02129,Charlestown,2129,42.378284,-71.066554,1277
202 W First St South Boston 02127,South Boston,2127,,,1278
65 Thompson ST Hyde Park 02136,Hyde Park,2136,42.25142,-71.13495,1279
561 to 579 Centre ST Jamaica Plain 02130,Jamaica Plain,2130,,,1280
19 Arborough RD Roslindale 02131,Roslindale,2131,42.289439,-71.128257,1281
30 Charles ST Hyde Park 02136,Hyde Park,2136,42.25034,-71.132493,1282
223 Commonwealth AVE Boston 02116,Boston,2116,,,1283
3964 Washington ST Roslindale 02131,Roslindale,2131,42.293293,-71.120506,1284
61 Pierce AVE Dorchester 02122,Dorchester,2122,42.287391,-71.051712,1285
75 Maywood St Roxbury 02119,Roxbury,2119,,,1286
1 Everett St East Boston 02128,East Boston,2128,,,1287
1 Beacon ST Boston 02108,Boston,2108,,,1288
784 W Roxbury PKWY Roslindale 02131,Roslindale,2131,42.27906,-71.14143,1289
1011 Harrison Av Roxbury 02119,Roxbury,2119,,,1290
23 Auriga ST Dorchester 02122,Dorchester,2122,42.289756,-71.054999,1291
33 Russell ST Charlestown 02129,Charlestown,2129,42.37966,-71.0656,1292
397 Commonwealth AVE Boston 02215,Boston,2215,,,1293
306 Sumner ST East Boston 02128,East Boston,2128,42.36768,-71.03662,1294
415 to 417 Blue Hill AVE Dorchester 02121,Dorchester,2121,,,1295
122 Saratoga ST East Boston 02128,East Boston,2128,42.37707,-71.03567,1296
75 Old Harbor ST South Boston 02127,South Boston,2127,42.332254,-71.047703,1297
75 Old Harbor ST South Boston 02127,South Boston,2127,42.332254,-71.047703,1298
25 Gardner St Allston 02134,Allston,2134,,,1299
23 Hallowell ST Mattapan 02126,Mattapan,2126,42.2715,-71.100564,1300
11 Parkside DR Jamaica Plain 02130,Jamaica Plain,2130,42.31138,-71.13158,1301
23 Wabon ST Dorchester 02121,Dorchester,2121,42.314707,-71.085962,1302
839 to 843 Beacon ST Boston 02215,Boston,2215,42.34647,-71.101061,1303
265 E Ninth ST South Boston 02127,South Boston,2127,,,1304
335 K ST South Boston 02127,South Boston,2127,42.33215,-71.03754,1305
175 Milton ST Dorchester 02124,Dorchester,2124,42.28115,-71.05063,1306
40 Union PARK Roxbury 02118,Roxbury,2118,,,1307
654 Cummins HWY Mattapan 02126,Mattapan,2126,,,1308
35 to 37 Kingston ST Boston 02111,Boston,2111,42.353597,-71.059417,1309
944 E Broadway South Boston 02127,South Boston,2127,,,1310
36 Robken RD Roslindale 02131,Roslindale,2131,42.293701,-71.134838,1311
160 W Canton ST Roxbury 02118,Roxbury,2118,42.34312,-71.07564,1312
26 Arlington ST Brighton 02135,Brighton,2135,,,1313
1 Otis PL Boston 02108,Boston,2108,42.357262,-71.072062,1314
14 Thwing ST Roxbury 02119,Roxbury,2119,42.323738,-71.094612,1315
16 Thwing ST Roxbury 02119,Roxbury,2119,42.32372,-71.09479,1316
73 Cedar St Roxbury 02119,Roxbury,2119,42.32629,-71.09173,1317
